lawsuit_number,decision_type,judicial_secrecy,rapporteur,judging_body,district,judgment_date,publication_source_date,full_text
0021255-96.2024.8.16.0019,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"4.
0021255-96.2024.8.16.0019
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0021255-96.2024.8.16.0019


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"1. Caso: Barbosa de Souza e Outros Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 07/09/2021
i"
0002953-70.2024.8.16.0196,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"5.
0002953-70.2024.8.16.0196
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0002953-70.2024.8.16.0196


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0003596-06.2026.8.16.0116,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"6.
0003596-06.2026.8.16.0116
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0003596-06.2026.8.16.0116


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0021219-14.2020.8.16.0013,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"7.
0021219-14.2020.8.16.0013
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0021219-14.2020.8.16.0013


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0007063-67.2025.8.16.0038,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"8.
0007063-67.2025.8.16.0038
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0007063-67.2025.8.16.0038


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"2. Caso: Favela Nova Brasília Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 16/02/2017
i"
0001561-72.2026.8.16.0181,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"9.
0001561-72.2026.8.16.0181
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0001561-72.2026.8.16.0181


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0003597-88.2026.8.16.0116,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"10.
0003597-88.2026.8.16.0116
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0003597-88.2026.8.16.0116


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0053326-43.2026.8.16.0000,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"11.
0053326-43.2026.8.16.0000
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0053326-43.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0001252-47.2026.8.16.0150,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"12.
0001252-47.2026.8.16.0150
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0001252-47.2026.8.16.0150


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"3. Caso: Veliz Franco e Outros Vs. Guatemala (Sentença da Corte IDH)

Data Julgamento: 19/05/2014
i"
0071826-60.2026.8.16.0000,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"13.
0071826-60.2026.8.16.0000
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0071826-60.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0005689-63.2026.8.16.0011,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"14.
0005689-63.2026.8.16.0011
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0005689-63.2026.8.16.0011


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0058541-97.2026.8.16.0000,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"15.
0058541-97.2026.8.16.0000
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0058541-97.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0008346-50.2025.8.16.0160,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"16.
0008346-50.2025.8.16.0160
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0008346-50.2025.8.16.0160


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"4. Caso: Fernández Ortega e Outros Vs. México (Sentença da Corte IDH)

Data Julgamento: 30/08/2010
i"
0001025-04.2026.8.16.0006,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"17.
0001025-04.2026.8.16.0006
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0001025-04.2026.8.16.0006


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0001098-15.2022.8.16.0006,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"18.
0001098-15.2022.8.16.0006
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0001098-15.2022.8.16.0006


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0005868-94.2026.8.16.0011,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"19.
0005868-94.2026.8.16.0011
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0005868-94.2026.8.16.0011


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0002468-82.2024.8.16.0095,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"20.
0002468-82.2024.8.16.0095
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0002468-82.2024.8.16.0095


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"5. Caso: González e Outras (“Campo Algodoeiro”) Vs. México (Sentença da Corte IDH)

Data Julgamento: 16/11/2009
i"
0002941-54.2026.8.16.0174,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"21.
0002941-54.2026.8.16.0174
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0002941-54.2026.8.16.0174


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0004046-71.2023.8.16.0174,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"22.
0004046-71.2023.8.16.0174
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0004046-71.2023.8.16.0174


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026"
0000747-03.2026.8.16.0006,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"23.
0000747-03.2026.8.16.0006
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0000747-03.2026.8.16.0006


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0005506-74.2026.8.16.0017,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"24.
0005506-74.2026.8.16.0017
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0005506-74.2026.8.16.0017


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 01/08/2026
Segredo de Justiça"
0050252-78.2026.8.16.0000,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"25.
0050252-78.2026.8.16.0000
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0050252-78.2026.8.16.0000


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 31/07/2026
Segredo de Justiça"
0001521-35.2024.8.16.0028,Acórdão,Not informed,Celso Jair Mainardi,4ª Câmara Criminal,Not informed,No date,No date,"26.
0001521-35.2024.8.16.0028
 (Acórdão)

Relator:  Celso Jair Mainardi
Desembargador

Processo:
0001521-35.2024.8.16.0028


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 30/07/2026"
0059919-88.2026.8.16.0000,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"27.
0059919-88.2026.8.16.0000
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0059919-88.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 30/07/2026
Segredo de Justiça"
0001791-52.2023.8.16.0074,Acórdão,Not informed,Miguel Kfouri Neto,1ª Câmara Criminal,Not informed,No date,No date,"28.
0001791-52.2023.8.16.0074
 (Acórdão)

Relator:  Miguel Kfouri Neto
Desembargador

Processo:
0001791-52.2023.8.16.0074


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 30/07/2026"
0001154-78.2026.8.16.0080,Acórdão,Not informed,Miguel Kfouri Neto,1ª Câmara Criminal,Not informed,No date,No date,"29.
0001154-78.2026.8.16.0080
 (Acórdão)

Relator:  Miguel Kfouri Neto
Desembargador

Processo:
0001154-78.2026.8.16.0080


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 30/07/2026
Segredo de Justiça"
0092955-24.2026.8.16.0000,Acórdão,Not informed,Gamaliel Seme Scaff,1ª Câmara Criminal,Not informed,No date,No date,"30.
0092955-24.2026.8.16.0000
 (Acórdão)

Relator:  Gamaliel Seme Scaff
Desembargador

Processo:
0092955-24.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 30/07/2026
Segredo de Justiça"
0000501-14.2026.8.16.0133,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"31.
0000501-14.2026.8.16.0133
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000501-14.2026.8.16.0133


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 28/07/2026
Segredo de Justiça"
0104173-49.2026.8.16.0000,Decisão monocrática,Not informed,,1ª Câmara Criminal,Not informed,No date,No date,"32.
0104173-49.2026.8.16.0000
 (Decisão monocrática)

Relator:  Desembargador Substituto Sergio Luiz Patitucci

Processo:
0104173-49.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 28/07/2026
Segredo de Justiça"
0102182-38.2026.8.16.0000,Decisão monocrática,Not informed,,6ª Câmara Criminal,Not informed,No date,No date,"33.
0102182-38.2026.8.16.0000
 (Decisão monocrática)

Relator:  Desembargadora Substituta Andréa Fabiane Groth Busato

Processo:
0102182-38.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 28/07/2026
Segredo de Justiça"
0000896-65.2025.8.16.0157,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"34.
0000896-65.2025.8.16.0157
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0000896-65.2025.8.16.0157


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0078205-17.2026.8.16.0000,Acórdão,Not informed,Lourival Pedro Chemim,4ª Câmara Criminal,Not informed,No date,No date,"35.
0078205-17.2026.8.16.0000
 (Acórdão)

Relator:  Lourival Pedro Chemim
Juiz de Direito Substituto em Segundo Grau

Processo:
0078205-17.2026.8.16.0000


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 27/07/2026"
0007515-60.2023.8.16.0131,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"36.
0007515-60.2023.8.16.0131
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0007515-60.2023.8.16.0131


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0010645-47.2024.8.16.0188,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"37.
0010645-47.2024.8.16.0188
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0010645-47.2024.8.16.0188


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0043004-61.2026.8.16.0000,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"38.
0043004-61.2026.8.16.0000
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0043004-61.2026.8.16.0000


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0000945-87.2023.8.16.0186,Acórdão,Not informed,substituta maria fernanda scheidemantel nogara ferreira da costa,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"39.
0000945-87.2023.8.16.0186
 (Acórdão)

Relator:  substituta maria fernanda scheidemantel nogara ferreira da costa

Processo:
0000945-87.2023.8.16.0186


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 27/07/2026
Segredo de Justiça"
0042130-20.2025.8.16.0030,Acórdão,Not informed,jose candido sobrinho,12ª Câmara Cível,Not informed,No date,No date,"40.
0042130-20.2025.8.16.0030
 (Acórdão)

Relator:  jose candido sobrinho

Processo:
0042130-20.2025.8.16.0030


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0007839-76.2024.8.16.0014,Acórdão,Not informed,ana claudia finger,6ª Câmara Criminal,Not informed,No date,No date,"41.
0007839-76.2024.8.16.0014
 (Acórdão)

Relator:  ana claudia finger

Processo:
0007839-76.2024.8.16.0014


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0000567-37.2022.8.16.0164,Acórdão,Not informed,ana claudia finger,6ª Câmara Criminal,Not informed,No date,No date,"42.
0000567-37.2022.8.16.0164
 (Acórdão)

Relator:  ana claudia finger

Processo:
0000567-37.2022.8.16.0164


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0002809-16.2024.8.16.0061,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"43.
0002809-16.2024.8.16.0061
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0002809-16.2024.8.16.0061


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0002033-47.2026.8.16.0028,Acórdão,Not informed,Sérgio Luiz Kreuz,12ª Câmara Cível,Not informed,No date,No date,"44.
0002033-47.2026.8.16.0028
 (Acórdão)

Relator:  Sérgio Luiz Kreuz
Desembargador

Processo:
0002033-47.2026.8.16.0028


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0000327-79.2026.8.16.0173,Acórdão,Not informed,Sérgio Luiz Kreuz,12ª Câmara Cível,Not informed,No date,No date,"45.
0000327-79.2026.8.16.0173
 (Acórdão)

Relator:  Sérgio Luiz Kreuz
Desembargador

Processo:
0000327-79.2026.8.16.0173


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
